id,legislator_id,vote_id,vote_type
92516784,400440,3321166,2
92516770,17941,3321166,2
92516768,400414,3321166,2
92516753,400380,3321166,2
92516734,412393,3321166,2
92516711,412487,3321166,2
92516702,15367,3321166,2
92516688,412421,3321166,2
92516683,412649,3321166,2
92516647,1269775,3321166,2
92516640,15318,3321166,2
92516632,904796,3321166,2
92516579,904789,3321166,2
92516553,1269790,3321166,1
92516513,1269778,3321166,1
92516500,905216,3321166,1
92516499,1269767,3321166,1
92516373,1852382,3321166,1
92516368,1603850,3321166,1
92280168,1269790,3314452,2
92280136,1269778,3314452,2
92280128,905216,3314452,2
92280127,1269767,3314452,2
92280007,1852382,3314452,2
92279998,1603850,3314452,2
92279979,400440,3314452,1
92279965,17941,3314452,1
92279964,400414,3314452,1
92279943,400380,3314452,1
92279920,412393,3314452,1
92279888,412487,3314452,1
92279879,15367,3314452,1
92279858,412421,3314452,1
92279850,412649,3314452,1
92279828,1269775,3314452,1
92279823,15318,3314452,1
92279817,904796,3314452,1
92279758,904789,3314452,1
